IdReview,IdCliente,IdProducto,Fecha,Comentario,Rating
W0001,7,16,2024-10-23,"Producto llegó rápido y funciona perfecto. Muy recomendable.",4
W0002,28,5,2024-10-15,"Gran relación calidad-precio. Muy recomendable.",3
W0003,35,20,2025-02-02,"Entrega correcta, sin comentarios adicionales. OK.",5
W0004,21,9,2025-04-24,"Producto recibido, cumple su función. OK.",4
W0005,30,8,2025-03-25,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",1
W0006,21,16,2025-03-16,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",3
W0007,18,11,2024-12-03,"Es lo que esperaba, nada excepcional. OK.",1
W0008,13,17,2025-01-06,"Calidad superior, muy contento. Muy recomendable.",5
W0009,31,8,2025-01-27,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",1
W0010,19,3,2025-04-10,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",5
W0011,31,12,2025-02-08,"Envío tardío y producto dañado. No volvería a comprar.",5
W0012,23,11,2025-04-10,"Es lo que esperaba, nada excepcional. OK.",3
W0013,8,8,2025-07-14,"Es lo que esperaba, nada excepcional. OK.",5
W0014,13,6,2025-04-25,"Calidad superior, muy contento. Muy recomendable.",5
W0015,39,17,2025-06-06,"Me encanta este producto, excelente calidad. Muy recomendable.",3
W0016,24,8,2024-09-16,"Me encanta este producto, excelente calidad. Muy recomendable.",5
W0017,18,5,2024-12-04,"Me encanta este producto, excelente calidad. Muy recomendable.",3
W0018,32,5,2024-11-24,"Me encanta este producto, excelente calidad. Muy recomendable.",3
W0019,31,16,2025-08-18,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",3
W0020,8,16,2025-01-05,"Entrega correcta, sin comentarios adicionales. OK.",1
W0021,4,19,2025-04-11,"Gran relación calidad-precio. Muy recomendable.",1
W0022,8,8,2024-11-07,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",5
W0023,15,20,2025-01-26,"Entrega correcta, sin comentarios adicionales. OK.",4
W0024,38,10,2024-11-26,"Es lo que esperaba, nada excepcional. OK.",5
W0025,40,2,2025-05-30,"Producto recibido, cumple su función. OK.",2
W0026,6,9,2024-12-05,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",1
W0027,1,6,2025-01-16,"Gran relación calidad-precio. Muy recomendable.",3
W0028,15,2,2024-09-19,"Producto llegó rápido y funciona perfecto. Muy recomendable.",4
W0029,15,3,2024-10-10,"Satisface lo básico. OK.",2
W0030,8,14,2025-04-30,"No funciona como esperaba, decepcionado. No volvería a comprar.",2
W0031,4,3,2024-11-13,"Producto llegó rápido y funciona perfecto. Muy recomendable.",5
W0032,29,10,2024-09-20,"Producto llegó rápido y funciona perfecto. Muy recomendable.",4
W0033,33,9,2025-08-03,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",5
W0034,28,2,2025-05-08,"Satisface lo básico. OK.",1
W0035,15,3,2024-11-17,"Satisface lo básico. OK.",1
W0036,37,9,2025-01-16,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",5
